accession,average_molecular_weight,origin,state,carcinogenicity,kingdom,super_class,taxonomy_class,sub_class,targets_id,pred_polar_surface_area_ChemAxon,pred_formal_charge_ChemAxon,pred_acceptor_count_ChemAxon,pred_physiological_charge_ChemAxon,pred_polarizability_ChemAxon,pred_rotatable_bond_count_ChemAxon,pred_refractivity_ChemAxon,pred_donor_count_ChemAxon,Acidity,logP,solubility,Inhalation(ROE),Dermal(ROE),Ingestion(ROE),Injection(ROE),cellular_locations_Lysosome,cellular_locations_Endosome,cellular_locations_Centrosome,cellular_locations_Mitochondria,cellular_locations_Actin Filament,cellular_locations_Synaptic Vesicle,cellular_locations_Late endosome,cellular_locations_Endoplasmic reticulum membrane,cellular_locations_Cell junction,cellular_locations_Secretory Granule,cellular_locations_Nuclear Membrane,cellular_locations_Zymogen Granule,cellular_locations_Cytoplasm,cellular_locations_Microsome,cellular_locations_Membrane,cellular_locations_Cell surface,cellular_locations_Plasma Membrane,cellular_locations_Actin Cytoskeleton,cellular_locations_Nucleus,cellular_locations_Nerve Fiber,cellular_locations_Golgi apparatus,cellular_locations_Mitochondrial Matrix,cellular_locations_Microtubule,cellular_locations_Mitochondrion,cellular_locations_Soluble Fraction,cellular_locations_Nucleoplasm,cellular_locations_Nuclear Matrix,cellular_locations_Tubulin,cellular_locations_Membrane Fraction,cellular_locations_Mitochondrial Membrane,cellular_locations_Mitochondrial Intermembrane Space,cellular_locations_Perinuclear region,cellular_locations_Acrosome,cellular_locations_Extracellular,cellular_locations_Endocytic Vesicle,cellular_locations_Focal adhesion,cellular_locations_Ribosome,cellular_locations_Nucleolus,cellular_locations_Cytosol,cellular_locations_Apical Membrane,cellular_locations_Cell membrane,cellular_locations_Caveolae,cellular_locations_Intermediate Filament,cellular_locations_Cytoskeleton,cellular_locations_Sarcoplasmic Reticulum,cellular_locations_Kinetochore,cellular_locations_Endoplasmic reticulum,cellular_locations_Secretory vesicle,cellular_locations_Peroxisome,cellular_locations_Extracellular matrix,cellular_locations_Early endosome,cellular_locations_Basolateral Membrane,categories_Bacterial Toxin,categories_Synthetic Toxin,categories_Animal Toxin,categories_Household Toxin,categories_Uremic Toxin,categories_Protein,categories_Drug,categories_Pesticide,categories_Polychlorinated Biphenyl,categories_Food Toxin,categories_Natural Toxin,categories_Industrial/Workplace Toxin,categories_Pollutant,categories_Cigarette Toxin,categories_Fungal Toxin,categories_Airborne Pollutant,categories_Plant Toxin
T3D0004,62.498,1,3,2,Organic compounds,Organohalogen compounds,Vinyl halides,Vinyl chlorides,"['BE0000123', 'BE0000792', 'BE0000218', 'BE0005014', 'BE0004796', 'BE0000795', 'BE0000381', 'BE0000523', 'BE0000478', 'BE0000471', 'BE0000764', 'BE0002344', 'BE0002346', 'BE0002345', 'BE0003599', 'BE0003595', 'BE0003593', 'BE0003592', 'BE0003594', 'BE0003596', 'BE0000129', 'BE0003598', 'BE0003619', 'BE0003597', 'BE0002815', 'BE0003805', 'BE0005088', 'BE0005089', 'BE0004982', 'BE0005003', 'BE0004991', 'BE0004972', 'BE0003888', 'BE0003477', 'BE0005030', 'BE0000732', 'BE0005034', 'BE0005047', 'BE0005031', 'BE0004994', 'BE0005018', 'BE0005026', 'BE0000229']",0.0,0,0,0,5.56,0,14.78,0,6,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0
T3D0009,252.3093,1,1,2,Organic compounds,Benzenoids,Pyrenes,Benzopyrenes,"['BE0003721', 'BE0004796', 'BE0000372', 'BE0000132', 'BE0000694', 'BE0003543', 'BE0000123', 'BE0005805', 'BE0000956']",0.0,0,0,0,29.09,0,83.17,0,6,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0
T3D0010,252.3093,1,1,4,Organic compounds,Benzenoids,Phenanthrenes and derivatives,Phenanthrenes and derivatives,"['BE0003721', 'BE0004796', 'BE0000372', 'BE0005490', 'BE0003848']",0.0,0,0,0,29.45,0,83.17,0,6,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0
T3D0011,119.378,1,2,4,Organic compounds,Organohalogen compounds,Alkyl halides,Trihalomethanes,"['BE0000123', 'BE0000792', 'BE0000218', 'BE0005014', 'BE0000795', 'BE0000381', 'BE0000523', 'BE0000478', 'BE0000471', 'BE0000764', 'BE0002344', 'BE0002346', 'BE0002345', 'BE0003599', 'BE0003595', 'BE0003593', 'BE0003592', 'BE0003594', 'BE0003596', 'BE0000129', 'BE0003598', 'BE0003619', 'BE0003597', 'BE0004982', 'BE0005003', 'BE0004991', 'BE0004972', 'BE0000090', 'BE0000462', 'BE0000699', 'BE0003888', 'BE0003477', 'BE0005030', 'BE0000732', 'BE0005034', 'BE0005047', 'BE0005031', 'BE0004994', 'BE0005018', 'BE0005026', 'BE0000229']",0.0,0,0,0,8.52,0,21.37,0,6,3,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,1,0,1,0
T3D0012,354.486,1,1,4,Organic compounds,Benzenoids,Benzene and substituted derivatives,Diphenylmethanes,"['BE0000956', 'BE0000123', 'BE0000132', 'BE0000792', 'BE0003721', 'BE0000218', 'BE0005014', 'BE0000418', 'BE0003446', 'BE0000795', 'BE0000381', 'BE0000523', 'BE0000478', 'BE0000471', 'BE0000764', 'BE0002344', 'BE0002346', 'BE0002345', 'BE0003599', 'BE0003595', 'BE0003593', 'BE0003592', 'BE0003594', 'BE0003596', 'BE0000129', 'BE0003598', 'BE0003619', 'BE0003597', 'BE0004982', 'BE0005003', 'BE0004991', 'BE0004972', 'BE0005050', 'BE0004631', 'BE0005049', 'BE0004996', 'BE0000557', 'BE0003888', 'BE0003477', 'BE0005030', 'BE0000141', 'BE0000177', 'BE0000192', 'BE0002081', 'BE0002082', 'BE0002083', 'BE0000197', 'BE0004900', 'BE0002084', 'BE0001143', 'BE0003635', 'BE0003636', 'BE0003637', 'BE0003638', 'BE0000732', 'BE0005034', 'BE0005047', 'BE0005031', 'BE0004994', 'BE0005018', 'BE0005026', 'BE0000229', 'BE0000490', 'BE0004019']",0.0,0,0,0,32.28,3,85.32,0,6,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0
T3D0013,326.433,1,1,2,Organic compounds,Benzenoids,Benzene and substituted derivatives,Polychlorinated biphenyls,"['BE0000123', 'BE0000792', 'BE0000951', 'BE0004976', 'BE0002151', 'BE0003721', 'BE0000614', 'BE0004289']",0.0,0,0,0,28.61,1,75.22,0,6,3,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0
T3D0014,360.878,1,1,2,Organic compounds,Benzenoids,Benzene and substituted derivatives,Polychlorinated biphenyls,"['BE0000123', 'BE0000792', 'BE0000951', 'BE0002151', 'BE0003721', 'BE0000614', 'BE0004289']",0.0,0,0,0,30.94,1,80.02,0,6,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0
T3D0015,278.3466,1,1,3,Organic compounds,Benzenoids,Phenanthrenes and derivatives,Phenanthrenes and derivatives,"['BE0003721', 'BE0000132', 'BE0004796', 'BE0000372', 'BE0005532', 'BE0005553', 'BE0000123']",0.0,0,0,0,32.86,0,91.86,0,6,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0
T3D0016,131.388,1,2,2,Organic compounds,Organohalogen compounds,Vinyl halides,Vinyl chlorides,"['BE0000123', 'BE0000792', 'BE0000227', 'BE0000400', 'BE0000465', 'BE0000360', 'BE0003545', 'BE0000522', 'BE0000009', 'BE0000218', 'BE0005014', 'BE0000795', 'BE0000381', 'BE0000523', 'BE0000478', 'BE0000471', 'BE0000764', 'BE0002344', 'BE0002346', 'BE0002345', 'BE0003599', 'BE0003595', 'BE0003593', 'BE0003592', 'BE0003594', 'BE0003596', 'BE0000129', 'BE0003598', 'BE0003619', 'BE0003597', 'BE0005560', 'BE0004982', 'BE0005003', 'BE0004991', 'BE0004972', 'BE0003888', 'BE0003477', 'BE0005030', 'BE0000732', 'BE0005034', 'BE0005047', 'BE0005031', 'BE0004994', 'BE0005018', 'BE0005026', 'BE0000229', 'BE0003862', 'BE0004348', 'BE0004330', 'BE0004284']",0.0,0,0,0,9.59,0,35.18,0,6,3,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,1,0,1,0
T3D0017,380.909,1,1,1,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Monoterpenoids,"['BE0000956', 'BE0000123', 'BE0000792', 'BE0000129', 'BE0000878', 'BE0000218', 'BE0005014', 'BE0000795', 'BE0000381', 'BE0000523', 'BE0000478', 'BE0000471', 'BE0000764', 'BE0002344', 'BE0002346', 'BE0002345', 'BE0003599', 'BE0003595', 'BE0003593', 'BE0003592', 'BE0003594', 'BE0003596', 'BE0003598', 'BE0003619', 'BE0003597', 'BE0004982', 'BE0005003', 'BE0004991', 'BE0004972', 'BE0003888', 'BE0003477', 'BE0005030', 'BE0000732', 'BE0005034', 'BE0005047', 'BE0005031', 'BE0004994', 'BE0005018', 'BE0005026', 'BE0000229', 'BE0000663', 'BE0000206', 'BE0001777', 'BE0003549', 'BE0005320', 'BE0004019']",12.53,0,1,0,31.36,0,78.01,0,5,3,1,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
T3D0020,409.779,1,1,4,Organic compounds,Organohalogen compounds,Vinyl halides,Vinyl chlorides,"['BE0000206', 'BE0003549', 'BE0002638', 'BE0003550', 'BE0002362', 'BE0003612', 'BE0000123', 'BE0000792', 'BE0003546', 'BE0000218', 'BE0005014', 'BE0004796', 'BE0002088', 'BE0000795', 'BE0000381', 'BE0000523', 'BE0000478', 'BE0000471', 'BE0000764', 'BE0002344', 'BE0002346', 'BE0002345', 'BE0003599', 'BE0003595', 'BE0003593', 'BE0003592', 'BE0003594', 'BE0003596', 'BE0000129', 'BE0003598', 'BE0003619', 'BE0003597', 'BE0004982', 'BE0005003', 'BE0004991', 'BE0004972', 'BE0000144', 'BE0003888', 'BE0003477', 'BE0005030', 'BE0000732', 'BE0005034', 'BE0005047', 'BE0005031', 'BE0004994', 'BE0005018', 'BE0005026', 'BE0000229', 'BE0003722', 'BE0005001', 'BE0000663', 'BE0000956', 'BE0000779', 'BE0003536']",0.0,0,0,0,32.61,0,80.38,0,6,3,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
T3D0021,318.025,1,1,1,Organic compounds,Benzenoids,Benzene and substituted derivatives,Diphenylmethanes,"['BE0000956', 'BE0000123', 'BE0000792', 'BE0000132', 'BE0000218', 'BE0005014', 'BE0000418', 'BE0000795', 'BE0000381', 'BE0000523', 'BE0000478', 'BE0000471', 'BE0000764', 'BE0002344', 'BE0002346', 'BE0002345', 'BE0003599', 'BE0003595', 'BE0003593', 'BE0003592', 'BE0003594', 'BE0003596', 'BE0000129', 'BE0003598', 'BE0003619', 'BE0003597', 'BE0004982', 'BE0005003', 'BE0004991', 'BE0004972', 'BE0005050', 'BE0004631', 'BE0005049', 'BE0004996', 'BE0000557', 'BE0003888', 'BE0003477', 'BE0005030', 'BE0000141', 'BE0000177', 'BE0000192', 'BE0002081', 'BE0002082', 'BE0002083', 'BE0000197', 'BE0004900', 'BE0002084', 'BE0001143', 'BE0003635', 'BE0003636', 'BE0003637', 'BE0003638', 'BE0000732', 'BE0005034', 'BE0005047', 'BE0005031', 'BE0004994', 'BE0005018', 'BE0005026', 'BE0000229']",0.0,0,0,0,30.77,2,99.31,0,6,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
T3D0022,260.761,1,2,1,Organic compounds,Organohalogen compounds,Vinyl halides,Vinyl chlorides,"['BE0000123', 'BE0000792', 'BE0005056', 'BE0000218', 'BE0005014', 'BE0004796', 'BE0000795', 'BE0000381', 'BE0000523', 'BE0000478', 'BE0000471', 'BE0000764', 'BE0002344', 'BE0002346', 'BE0002345', 'BE0003599', 'BE0003595', 'BE0003593', 'BE0003592', 'BE0003594', 'BE0003596', 'BE0000129', 'BE0003598', 'BE0003619', 'BE0003597', 'BE0004982', 'BE0005003', 'BE0004991', 'BE0004972', 'BE0003888', 'BE0003477', 'BE0005030', 'BE0000732', 'BE0005034', 'BE0005047', 'BE0005031', 'BE0004994', 'BE0005018', 'BE0005026', 'BE0000229']",0.0,0,0,0,18.93,1,70.53,0,6,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
T3D0024,364.91,1,1,1,Organic compounds,Organohalogen compounds,Vinyl halides,Vinyl chlorides,"['BE0000956', 'BE0000123', 'BE0000792', 'BE0000218', 'BE0005014', 'BE0000795', 'BE0000381', 'BE0000523', 'BE0000478', 'BE0000471', 'BE0000764', 'BE0002344', 'BE0002346', 'BE0002345', 'BE0003599', 'BE0003595', 'BE0003593', 'BE0003592', 'BE0003594', 'BE0003596', 'BE0000129', 'BE0003598', 'BE0003619', 'BE0003597', 'BE0004982', 'BE0005003', 'BE0004991', 'BE0004972', 'BE0000557', 'BE0003888', 'BE0003477', 'BE0005030', 'BE0000732', 'BE0005034', 'BE0005047', 'BE0005031', 'BE0004994', 'BE0005018', 'BE0005026', 'BE0000229', 'BE0005320']",0.0,0,0,0,30.85,0,79.76,0,6,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
T3D0025,320.041,1,1,1,Organic compounds,Benzenoids,Benzene and substituted derivatives,Diphenylmethanes,"['BE0000956', 'BE0000132', 'BE0000123', 'BE0000792', 'BE0000218', 'BE0005014', 'BE0000418', 'BE0000795', 'BE0000381', 'BE0000523', 'BE0000478', 'BE0000471', 'BE0000764', 'BE0002344', 'BE0002346', 'BE0002345', 'BE0003599', 'BE0003595', 'BE0003593', 'BE0003592', 'BE0003594', 'BE0003596', 'BE0000129', 'BE0003598', 'BE0003619', 'BE0003597', 'BE0004982', 'BE0005003', 'BE0004991', 'BE0004972', 'BE0005050', 'BE0004631', 'BE0005049', 'BE0004996', 'BE0003888', 'BE0003477', 'BE0005030', 'BE0000141', 'BE0000177', 'BE0000192', 'BE0002081', 'BE0002082', 'BE0002083', 'BE0000197', 'BE0004900', 'BE0002084', 'BE0001143', 'BE0003635', 'BE0003636', 'BE0003637', 'BE0003638', 'BE0000732', 'BE0005034', 'BE0005047', 'BE0005031', 'BE0004994', 'BE0005018', 'BE0005026', 'BE0000229', 'BE0000663', 'BE0003848', 'BE0003536']",0.0,0,0,0,30.39,3,79.97,0,6,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
T3D0026,184.2371,1,1,2,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzidines,"['BE0000130', 'BE0004796', 'BE0000629', 'BE0004987', 'BE0004975', 'BE0004556', 'BE0004998', 'BE0004986', 'BE0005028', 'BE0005021', 'BE0002793', 'BE0003536', 'BE0000123']",52.04,0,2,0,21.05,1,60.6,2,3,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
T3D0027,291.988,1,1,2,Organic compounds,Benzenoids,Benzene and substituted derivatives,Polychlorinated biphenyls,"['BE0000123', 'BE0000792', 'BE0000951', 'BE0002151', 'BE0003721', 'BE0000614', 'BE0004289']",0.0,0,0,0,27.19,1,70.41,0,6,3,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0
T3D0028,26.0179,1,1,1,Inorganic compounds,Homogeneous non-metal compounds,Other non-metal organides,Other non-metal nitrides,"['BE0000896', 'BE0003546', 'BE0000267', 'BE0000322', 'BE0000535', 'BE0001207', 'BE0000335', 'BE0003385', 'BE0003987', 'BE0003986', 'BE0004980', 'BE0003988', 'BE0003989', 'BE0005012', 'BE0003994', 'BE0003995', 'BE0004979', 'BE0003990', 'BE0003996', 'BE0004983', 'BE0003991', 'BE0004990', 'BE0003992', 'BE0003993', 'BE0005022', 'BE0000820', 'BE0005057', 'BE0000816', 'BE0000817', 'BE0000821', 'BE0002286', 'BE0002289', 'BE0000648', 'BE0001135', 'BE0002288', 'BE0005082', 'BE0002252', 'BE0000176', 'BE0002254', 'BE0002257', 'BE0002390', 'BE0000252']",23.79,-1,1,0,2.07,0,15.81,0,4,1,3,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0
T3D0031,411.795,1,1,4,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Bicyclic monoterpenoids,"['BE0000123', 'BE0000792', 'BE0003722', 'BE0000426', 'BE0000269', 'BE0005063', 'BE0003732', 'BE0005058', 'BE0005059', 'BE0003733', 'BE0005060', 'BE0001000', 'BE0005061', 'BE0005062', 'BE0000132', 'BE0000218', 'BE0005014', 'BE0000795', 'BE0000381', 'BE0000523', 'BE0000478', 'BE0000471', 'BE0000764', 'BE0002344', 'BE0002346', 'BE0002345', 'BE0003599', 'BE0003595', 'BE0003593', 'BE0003592', 'BE0003594', 'BE0003596', 'BE0000129', 'BE0003598', 'BE0003619', 'BE0003597', 'BE0004982', 'BE0005003', 'BE0004991', 'BE0004972', 'BE0000557', 'BE0003888', 'BE0003477', 'BE0005030', 'BE0000732', 'BE0005034', 'BE0005047', 'BE0005031', 'BE0004994', 'BE0005018', 'BE0005026', 'BE0000229']",0.0,0,0,0,32.99,2,80.57,0,6,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
T3D0033,165.833,1,2,3,Organic compounds,Organohalogen compounds,Vinyl halides,Vinyl chlorides,"['BE0000123', 'BE0000792', 'BE0000218', 'BE0005014', 'BE0000795', 'BE0000381', 'BE0000523', 'BE0000478', 'BE0000471', 'BE0000764', 'BE0002344', 'BE0002346', 'BE0002345', 'BE0003599', 'BE0003595', 'BE0003593', 'BE0003592', 'BE0003594', 'BE0003596', 'BE0000129', 'BE0003598', 'BE0003619', 'BE0003597', 'BE0004982', 'BE0005003', 'BE0004991', 'BE0004972', 'BE0003888', 'BE0003477', 'BE0005030', 'BE0000732', 'BE0005034', 'BE0005047', 'BE0005031', 'BE0004994', 'BE0005018', 'BE0005026', 'BE0000229']",0.0,0,0,0,11.6,0,50.77,0,6,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0
